City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
469,Luderitz,-26.6481,15.1594,clear sky,78.03,49,0,8.59,NA,2021-04-20 13:16:38
470,Mayo,38.8876,-76.5119,clear sky,60.01,67,1,3.44,US,2021-04-20 13:16:38
471,Kaseda,31.4167,130.3167,clear sky,57.2,72,0,2.3,JP,2021-04-20 13:16:38
472,Hoquiam,46.9809,-123.8893,overcast clouds,50.0,87,90,1.66,US,2021-04-20 13:16:38
473,Plock,52.5468,19.7064,few clouds,62.6,36,20,4.61,PL,2021-04-20 13:16:39
474,Sabla,12.7525,4.7077,broken clouds,106.59,17,68,8.99,NG,2021-04-20 13:16:39
475,Vicksburg,32.3526,-90.8779,mist,59.0,100,1,2.91,US,2021-04-20 13:16:39
476,Buin,-33.7333,-70.75,mist,53.6,87,90,2.3,CL,2021-04-20 13:16:40
477,Kloulklubed,7.0419,134.2556,broken clouds,77.0,94,75,3.44,PW,2021-04-20 13:16:40
478,Harkany,45.85,18.2367,light rain,50.0,81,40,10.36,HU,2021-04-20 13:16:40
479,Montague,42.5356,-72.5351,overcast clouds,55.0,71,96,1.01,US,2021-04-20 13:16:40
480,Buraydah,26.326,43.975,clear sky,96.8,17,0,6.91,SA,2021-04-20 13:16:41
481,Abbeville,50.1,1.8333,clear sky,64.0,49,7,3.47,FR,2021-04-20 13:16:41
482,Mahon,39.8885,4.2658,few clouds,62.6,55,20,11.5,ES,2021-04-20 13:16:41
483,Cacoal,-11.4386,-61.4472,broken clouds,77.04,88,71,2.77,BR,2021-04-20 13:13:45
484,Northam,51.0333,-4.2167,overcast clouds,60.01,71,86,5.01,GB,2021-04-20 13:16:42
485,Albion,42.2431,-84.753,overcast clouds,34.0,69,90,3.44,US,2021-04-20 13:16:42
486,Bathsheba,13.2167,-59.5167,scattered clouds,84.2,54,40,21.85,BB,2021-04-20 13:16:42
487,Atar,20.5169,-13.0499,few clouds,80.6,24,17,13.8,MR,2021-04-20 13:16:43
488,Bandiagara,14.3501,-3.6104,clear sky,104.0,9,0,6.91,ML,2021-04-20 13:16:43
489,Kaiyuan,23.6977,103.3037,clear sky,69.78,42,0,7.85,CN,2021-04-20 13:16:43
490,Curitibanos,-27.2828,-50.5844,few clouds,63.57,63,13,2.46,BR,2021-04-20 13:16:43
491,Clyde River,70.4692,-68.5914,overcast clouds,5.0,85,90,4.61,CA,2021-04-20 13:16:44
492,San Vicente,-26.6167,-54.1333,clear sky,73.56,44,0,2.98,AR,2021-04-20 13:16:44
493,Lata,40.1629,-8.3327,broken clouds,66.99,63,75,11.5,PT,2021-04-20 13:16:44
494,Acarau,-2.8856,-40.12,broken clouds,82.06,72,70,4.68,BR,2021-04-20 13:16:45
495,Dali,25.7,100.1833,clear sky,61.52,39,0,8.48,CN,2021-04-20 13:16:45
496,Hay River,60.8156,-115.7999,clear sky,37.4,52,0,9.22,CA,2021-04-20 13:15:03
497,Awjilah,29.1081,21.2869,clear sky,78.21,14,3,12.24,LY,2021-04-20 13:16:45
498,Porto San Giorgio,43.1827,13.7934,overcast clouds,62.01,46,100,4.0,IT,2021-04-20 13:16:46
499,Laguna,38.421,-121.4238,clear sky,53.01,71,1,6.91,US,2021-04-20 13:16:46
500,Simi,9.5667,-12.35,broken clouds,100.87,36,55,1.63,SL,2021-04-20 13:16:46
501,Pingyi,35.5006,117.6308,light rain,57.33,49,100,14.32,CN,2021-04-20 13:16:47
502,Hasaki,35.7333,140.8333,few clouds,60.8,82,20,2.3,JP,2021-04-20 13:16:47
503,Halmstad,56.6745,12.8568,clear sky,60.8,36,0,10.36,SE,2021-04-20 13:16:15
504,Birjand,32.8663,59.2211,clear sky,78.8,10,0,9.22,IR,2021-04-20 13:16:47
505,Kimbe,-5.5502,150.1429,light rain,78.08,91,94,1.88,PG,2021-04-20 13:16:48
506,Panaba,21.2833,-88.2667,overcast clouds,79.23,82,100,8.59,MX,2021-04-20 13:16:48
507,Makakilo City,21.3469,-158.0858,broken clouds,73.4,73,75,5.75,US,2021-04-20 13:16:48
508,Hayden,47.766,-116.7866,clear sky,33.01,74,1,8.05,US,2021-04-20 13:16:42
509,Surt,31.2089,16.5887,clear sky,65.84,44,0,11.86,LY,2021-04-20 13:16:48
510,Wilmington,34.2257,-77.9447,clear sky,64.99,77,1,1.92,US,2021-04-20 13:12:10
511,Marawi,7.9986,124.2928,overcast clouds,79.0,84,100,4.0,PH,2021-04-20 13:16:49
512,Roanoke Rapids,36.4615,-77.6542,clear sky,51.8,100,1,5.75,US,2021-04-20 13:16:49
